study,dataset,name,concept,item_old,questionnaire,question,item
soep-pretest,pre_2001,pbefr2,pbefr2,,pre_2001,39,2
soep-pretest,pre_2001,parb,parb,,pre_2001,40,1
soep-pretest,pre_2001,psst1,psst1,,pre_2001,40,2
soep-pretest,pre_2001,psst2,psst2,,pre_2001,40,3
soep-pretest,pre_2001,psst3,psst3,,pre_2001,40,4
soep-pretest,pre_2001,psst4,psst4,,pre_2001,40,5
soep-pretest,pre_2001,pazubi,pazubi,,pre_2001,40,6
soep-pretest,pre_2001,pang,pang,,pre_2001,40,7
soep-pretest,pre_2001,pamt,pamt,,pre_2001,40,8
soep-pretest,pre_2001,pberka,pberka,,pre_2001,40,9
soep-pretest,pre_2001,pmo12,pzahl,,pre_2001,41,
soep-pretest,pre_2001,pverl,pverl,,pre_2001,42,
soep-pretest,pre_2001,pwohn2,pwohn2,,pre_2001,43,
soep-pretest,pre_2001,pwohn1,pwohn1,,pre_2001,44,
soep-pretest,pre_2001,pwohn3,pwohn3,,pre_2001,45,
soep-pretest,pre_2001,pwohn4,pwohn4,,pre_2001,46,1
soep-pretest,pre_2001,pwohn5,pwohn5,,pre_2001,46,2
soep-pretest,pre_2001,phaus1,phaus1,,pre_2001,47,1
soep-pretest,pre_2001,phaus2,phaus2,,pre_2001,47,2
soep-pretest,pre_2001,ptwo1,paz01,,pre_2001,48,1
soep-pretest,pre_2001,ptwo2,paz02,,pre_2001,48,2
soep-pretest,pre_2001,ptstd1,paz03,,pre_2001,49,1
soep-pretest,pre_2001,ptstd2,paz04,,pre_2001,49,2
soep-pretest,pre_2001,ptuhr1,paz05,,pre_2001,50,1
soep-pretest,pre_2001,ptuhr2,paz06,,pre_2001,50,2
soep-pretest,pre_2001,ptuhr3,paz07,,pre_2001,50,3
soep-pretest,pre_2001,paz01,paz08,,pre_2001,51,1
soep-pretest,pre_2001,paz02,paz09,,pre_2001,51,2
soep-pretest,pre_2001,paz03,paz10,,pre_2001,52,1
soep-pretest,pre_2001,paz04,paz11,,pre_2001,52,2
soep-pretest,pre_2001,paz05,paz12,,pre_2001,52,3
soep-pretest,pre_2001,paz06,paz13,,pre_2001,52,4
soep-pretest,pre_2001,paz07,paz14,,pre_2001,53,
soep-pretest,pre_2001,pustd1,pustd2,,pre_2001,54,
soep-pretest,pre_2001,pustd2,pustd3,,pre_2001,55,1
soep-pretest,pre_2001,pustd3,pustd4,,pre_2001,55,2
soep-pretest,pre_2001,pustd4,pustd5,,pre_2001,55,3
soep-pretest,pre_2001,pustd5,pustd6,,pre_2001,56,
soep-pretest,pre_2001,pustd6,pustd7,,pre_2001,57,1
soep-pretest,pre_2001,pustd7,pustd8,,pre_2001,57,2
soep-pretest,pre_2001,pustd8,pustd9,,pre_2001,57,3
soep-pretest,pre_2001,pbrut,pbrut,,pre_2001,58,1
soep-pretest,pre_2001,pnett,pnett,,pre_2001,58,2
soep-pretest,pre_2001,pjob01,pjob02,,pre_2001,59,1
soep-pretest,pre_2001,pjob02,pjob03,,pre_2001,59,2
soep-pretest,pre_2001,pjob03,pjob04,,pre_2001,59,3
soep-pretest,pre_2001,pjobno,pjobno,,pre_2001,59,4
soep-pretest,pre_2001,pjobx,pre_pjobx,,pre_2001,60,
soep-pretest,pre_2001,pjob04,pjob04,,pre_2001,61,1
soep-pretest,pre_2001,pjob05,pjob05,,pre_2001,61,2
soep-pretest,pre_2001,pjob06,pjob06,,pre_2001,61,3
soep-pretest,pre_2001,pjob07,pjob07,,pre_2001,61,4
soep-pretest,pre_2001,pjob08,pjob08,,pre_2001,62,1
soep-pretest,pre_2001,pjob09,pjob09,,pre_2001,62,2
soep-pretest,pre_2001,pjob10,pjob10,,pre_2001,62,3
soep-pretest,pre_2001,pjob11,pjob11,,pre_2001,62,4
soep-pretest,pre_2001,pjob12,pjob12,,pre_2001,63,
soep-pretest,pre_2001,pjob13,pjob13,,pre_2001,64,
soep-pretest,pre_2001,pjob14,pjob14,,pre_2001,65,
soep-pretest,pre_2001,pek01,pek17,,pre_2001,66,1
soep-pretest,pre_2001,pek011,pre_pek171,,pre_2001,66,2
soep-pretest,pre_2001,pek02,pek01,,pre_2001,66,3
soep-pretest,pre_2001,pek021,pek011,,pre_2001,66,4
soep-pretest,pre_2001,pek03,pek02,,pre_2001,66,5
soep-pretest,pre_2001,pek031,pek021,,pre_2001,66,6
soep-pretest,pre_2001,pek04,pre_pek12,,pre_2001,66,7
soep-pretest,pre_2001,pek041,pre_pek121,,pre_2001,66,8
soep-pretest,pre_2001,pek05,pre_pek13,,pre_2001,66,9
soep-pretest,pre_2001,pek051,pre_pek131,,pre_2001,66,10
soep-pretest,pre_2001,pek06,pek03,,pre_2001,66,11
soep-pretest,pre_2001,pek061,pek031,,pre_2001,66,12
soep-pretest,pre_2001,pek07,pek04,,pre_2001,66,13
soep-pretest,pre_2001,pek071,pek041,,pre_2001,66,14
soep-pretest,pre_2001,pek08,pek05b,,pre_2001,66,15
soep-pretest,pre_2001,pek081,pek051b,,pre_2001,66,16
soep-pretest,pre_2001,pek09,pek06,,pre_2001,66,17
soep-pretest,pre_2001,pek091,pek061,,pre_2001,66,18
soep-pretest,pre_2001,pek10,pek07,,pre_2001,66,19
soep-pretest,pre_2001,pek101,pek071,,pre_2001,66,20
soep-pretest,pre_2001,pek11,pek08,,pre_2001,66,21
soep-pretest,pre_2001,pek111,pek081,,pre_2001,66,22
soep-pretest,pre_2001,pek12,pek09,,pre_2001,66,23
soep-pretest,pre_2001,pek121,pek091,,pre_2001,66,24
soep-pretest,pre_2001,pek13,pek10,,pre_2001,66,25
soep-pretest,pre_2001,pek131,pek101,,pre_2001,66,26
soep-pretest,pre_2001,pek14,pek11,,pre_2001,66,27
soep-pretest,pre_2001,pek141,pek111,,pre_2001,66,28
soep-pretest,pre_2001,pekno,pekno,,pre_2001,66,29
soep-pretest,pre_2001,pab1,pab1,,pre_2001,67,1
soep-pretest,pre_2001,pab2,pab2,,pre_2001,67,2
soep-pretest,pre_2001,pab3,pab3,,pre_2001,67,3
soep-pretest,pre_2001,pab4,pab4,,pre_2001,68,1
soep-pretest,pre_2001,pab5,pab5,,pre_2001,68,2
soep-pretest,pre_2001,pab5so,pre_pab5nr,,pre_2001,68,3
soep-pretest,pre_2001,pab6,pab6,,pre_2001,68,4
soep-pretest,pre_2001,pab6x,pab6nr,,pre_2001,68,5
soep-pretest,pre_2001,pab6nr,pab6nr1,,pre_2001,68,6
soep-pretest,pre_2001,pab7x,pab7nr,,pre_2001,68,7
soep-pretest,pre_2001,pab7nr,pre_pab7x,,pre_2001,68,8
soep-pretest,pre_2001,pab7,pab7,,pre_2001,68,9
soep-pretest,pre_2001,pend1,pend1,,pre_2001,69,
soep-pretest,pre_2001,pend2,pend2,,pre_2001,70,1
soep-pretest,pre_2001,pend3,pend3,,pre_2001,70,2
soep-pretest,pre_2001,pend4,pend4,,pre_2001,71,1
soep-pretest,pre_2001,pend5,pend5,,pre_2001,71,2
soep-pretest,pre_2001,pend6,pend6,,pre_2001,72,
soep-pretest,pre_2001,pend7,pend7,,pre_2001,73,1
soep-pretest,pre_2001,pend8,pend8,,pre_2001,73,2
soep-pretest,pre_2001,pend9,pend9,,pre_2001,74,
soep-pretest,pre_2001,pkal01,pkal01,,pre_2001,75,1
soep-pretest,pre_2001,pkal02,pkal02,,pre_2001,75,2
soep-pretest,pre_2001,pkal03,pkal03,,pre_2001,75,3
soep-pretest,pre_2001,pkal04,pkal04,,pre_2001,75,4
soep-pretest,pre_2001,pkal05,pkal05,,pre_2001,75,5
soep-pretest,pre_2001,pkal06,pkal06,,pre_2001,75,6
soep-pretest,pre_2001,pkal07,pkal07,,pre_2001,75,7
soep-pretest,pre_2001,pkal08,pkal08,,pre_2001,75,8
soep-pretest,pre_2001,pkal09,pkal09,,pre_2001,75,9
soep-pretest,pre_2001,pkal10,pkal10,,pre_2001,75,10
soep-pretest,pre_2001,pkal11,pkal11,,pre_2001,75,11
soep-pretest,pre_2001,pkalso,pre_pkal_11_so,,pre_2001,75,12
soep-pretest,pre_2001,pvek01,pvek01,,pre_2001,76,
soep-pretest,pre_2001,pvek011,pvek011,,pre_2001,76,
soep-pretest,pre_2001,pvek012,pvek012,,pre_2001,76,
soep-pretest,pre_2001,pvek013,pvek013,,pre_2001,76,
soep-pretest,pre_2001,pvek02,pvek02,,pre_2001,76,
soep-pretest,pre_2001,pvek021,pvek021,,pre_2001,76,
soep-pretest,pre_2001,pvek022,pvek022,,pre_2001,76,
soep-pretest,pre_2001,pvek023,pvek023,,pre_2001,76,
soep-pretest,pre_2001,pvek03,pvek03,,pre_2001,76,
soep-pretest,pre_2001,pvek031,pvek031,,pre_2001,76,
soep-pretest,pre_2001,pvek032,pvek032,,pre_2001,76,
soep-pretest,pre_2001,pvek04,pvek04,,pre_2001,76,
soep-pretest,pre_2001,pvek041,pvek041,,pre_2001,76,
soep-pretest,pre_2001,pvek042,pvek042,,pre_2001,76,
soep-pretest,pre_2001,pvek05,pvek05,,pre_2001,76,
soep-pretest,pre_2001,pvek051,pvek051,,pre_2001,76,
soep-pretest,pre_2001,pvek052,pvek052,,pre_2001,76,
soep-pretest,pre_2001,pvek06,pvek16,,pre_2001,76,
soep-pretest,pre_2001,pvek061,pvek161,,pre_2001,76,
soep-pretest,pre_2001,pvek062,pvek162,,pre_2001,76,
soep-pretest,pre_2001,pvek07,pvek17,,pre_2001,76,
soep-pretest,pre_2001,pvek071,pvek171,,pre_2001,76,
soep-pretest,pre_2001,pvek072,pvek172,,pre_2001,76,
soep-pretest,pre_2001,pvek08,pvek06,,pre_2001,76,
soep-pretest,pre_2001,pvek081,pvek061,,pre_2001,76,
soep-pretest,pre_2001,pvek082,pvek062,,pre_2001,76,
soep-pretest,pre_2001,pvek09,pvek07,,pre_2001,76,
soep-pretest,pre_2001,pvek091,pvek071,,pre_2001,76,
soep-pretest,pre_2001,pvek092,pvek072,,pre_2001,76,
soep-pretest,pre_2001,pvek10,pvek08,,pre_2001,76,
soep-pretest,pre_2001,pvek101,pvek081,,pre_2001,76,
soep-pretest,pre_2001,pvek102,pvek082,,pre_2001,76,
soep-pretest,pre_2001,pvek11,pvek09,,pre_2001,76,
soep-pretest,pre_2001,pvek111,pvek091,,pre_2001,76,
soep-pretest,pre_2001,pvek112,pvek092,,pre_2001,76,
soep-pretest,pre_2001,pvek12,pvek10,,pre_2001,76,
soep-pretest,pre_2001,pvek121,pvek101,,pre_2001,76,
soep-pretest,pre_2001,pvek122,pvek102,,pre_2001,76,
soep-pretest,pre_2001,pvek13,pvek11,,pre_2001,76,
soep-pretest,pre_2001,pvek131,pvek111,,pre_2001,76,
soep-pretest,pre_2001,pvek132,pvek112,,pre_2001,76,
soep-pretest,pre_2001,pvek14,pvek12,,pre_2001,76,
soep-pretest,pre_2001,pvek141,pvek121,,pre_2001,76,
soep-pretest,pre_2001,pvek142,pvek122,,pre_2001,76,
soep-pretest,pre_2001,pvek15,pvek13,,pre_2001,76,
soep-pretest,pre_2001,pvek151,pvek131,,pre_2001,76,
soep-pretest,pre_2001,pvek152,pvek132,,pre_2001,76,
soep-pretest,pre_2001,pvekno,pvekno,,pre_2001,76,
soep-pretest,pre_2001,pzus01,pzus01,,pre_2001,77,1
soep-pretest,pre_2001,pzus011,pzus011,,pre_2001,77,2
soep-pretest,pre_2001,pzus02,pzus02,,pre_2001,77,3
soep-pretest,pre_2001,pzus021,pzus021,,pre_2001,77,4
soep-pretest,pre_2001,pzus03,pzus03,,pre_2001,77,5
soep-pretest,pre_2001,pzus031,pzus031,,pre_2001,77,6
soep-pretest,pre_2001,pzus04,pzus04,,pre_2001,77,7
soep-pretest,pre_2001,pzus041,pzus041,,pre_2001,77,8
soep-pretest,pre_2001,pzus05,pzus05,,pre_2001,77,9
soep-pretest,pre_2001,pzus051,pzus051,,pre_2001,77,10
soep-pretest,pre_2001,pzus06,pzus06,,pre_2001,77,11
soep-pretest,pre_2001,pzus061,pzus061,,pre_2001,77,12
soep-pretest,pre_2001,pzus07,pzus07,,pre_2001,77,13
soep-pretest,pre_2001,psoz01,psoz1,,pre_2001,78,1
soep-pretest,pre_2001,psoz02,psoz2,,pre_2001,78,2
soep-pretest,pre_2001,psoz03,psoz3,,pre_2001,78,3
soep-pretest,pre_2001,psoz04,psoz4,,pre_2001,78,4
soep-pretest,pre_2001,psoz05,psoz5,,pre_2001,79,
soep-pretest,pre_2001,pnet1,pnet1,,pre_2001,79a,
soep-pretest,pre_2001,pnet2,pnet2,,pre_2001,79a,
soep-pretest,pre_2001,psoz06,psoz06,,pre_2001,80,1
soep-pretest,pre_2001,psoz07,psoz07,,pre_2001,80,2
soep-pretest,pre_2001,psoz08,psoz08,,pre_2001,80,3
soep-pretest,pre_2001,psoz09,psoz09,,pre_2001,80,4
soep-pretest,pre_2001,psoz10,psoz10,,pre_2001,80,5
soep-pretest,pre_2001,psoz11,psoz11,,pre_2001,80,6
soep-pretest,pre_2001,psoz12,psoz12,,pre_2001,80,7
soep-pretest,pre_2001,psoz13,psoz13,,pre_2001,80,8
soep-pretest,pre_2001,psoz14,psoz14,,pre_2001,80,9
soep-pretest,pre_2001,psoz15,psoz15,,pre_2001,80,10
soep-pretest,pre_2001,psoz16,psoz16,,pre_2001,80,11
soep-pretest,pre_2001,palt3,palt3,,pre_2001,81,
soep-pretest,pre_2001,palt4,palt4,,pre_2001,82,
soep-pretest,pre_2001,palt5,palt5,,pre_2001,83,
soep-pretest,pre_2001,palt6,palt6,,pre_2001,84,
soep-pretest,pre_2001,pa1,pet01,,pre_2001,85a,
soep-pretest,pre_2001,pa2,pet02,,pre_2001,85a,
soep-pretest,pre_2001,pa3,pet03,,pre_2001,85a,
soep-pretest,pre_2001,pa4,pet05,,pre_2001,85a,
soep-pretest,pre_2001,pa5,pet06,,pre_2001,85a,
soep-pretest,pre_2001,pb1,pim01,,pre_2001,85b,
soep-pretest,pre_2001,pb2,pim02,,pre_2001,85b,
soep-pretest,pre_2001,pb3,pim03,,pre_2001,85b,
soep-pretest,pre_2001,pb4,pim04,,pre_2001,85b,
soep-pretest,pre_2001,pb5,pim05,,pre_2001,85b,
soep-pretest,pre_2001,pb6,pim06,,pre_2001,85b,
soep-pretest,pre_2001,pb7,pim07,,pre_2001,85b,
soep-pretest,pre_2001,pb8,pim08,,pre_2001,85b,
soep-pretest,pre_2001,pb9,pim11,,pre_2001,85b,
soep-pretest,pre_2001,pb10,pim09,,pre_2001,85b,
soep-pretest,pre_2001,pb11,pim10,,pre_2001,85b,
soep-pretest,pre_2001,pc1,pspa01,,pre_2001,85c,
soep-pretest,pre_2001,pc2,pspa02,,pre_2001,85c,
soep-pretest,pre_2001,pc3,pspa03,,pre_2001,85c,
soep-pretest,pre_2001,pc4,pspa04,,pre_2001,85c,
soep-pretest,pre_2001,pd1,pleb01,,pre_2001,85d,
soep-pretest,pre_2001,pd2,pleb02,,pre_2001,85d,
soep-pretest,pre_2001,pe1,pgew01,,pre_2001,85e,
soep-pretest,pre_2001,pe2,pgew02,,pre_2001,85e,
soep-pretest,pre_2001,pe3,pgew03,,pre_2001,85e,
soep-pretest,pre_2001,pf2,psach01,,pre_2001,85f,
soep-pretest,pre_2001,pf3,psach02,,pre_2001,85f,
soep-pretest,pre_2001,pg2,prest01,,pre_2001,85g,
soep-pretest,pre_2001,pg3,prest02,,pre_2001,85g,
soep-pretest,pre_2001,pges1,pges01,,pre_2001,86,
soep-pretest,pre_2001,pges2,pges02,,pre_2001,87,
soep-pretest,pre_2001,pges3,pges03,,pre_2001,88,
soep-pretest,pre_2001,pges4,pges05,,pre_2001,89,1
soep-pretest,pre_2001,pges5,pges06,,pre_2001,89,2
soep-pretest,pre_2001,pges6,pges07,,pre_2001,89,3
soep-pretest,pre_2001,pges7,pges08,,pre_2001,89,4
soep-pretest,pre_2001,pges8,pges09,,pre_2001,89,5
soep-pretest,pre_2001,pges9,pges10,,pre_2001,89,6
soep-pretest,pre_2001,pges10,pges11,,pre_2001,89,7
soep-pretest,pre_2001,pges11,pges12,,pre_2001,89,8
soep-pretest,pre_2001,pges12,pges13,,pre_2001,89,9
soep-pretest,pre_2001,pgro,pgr,,pre_2001,90,
soep-pretest,pre_2001,pkilo,pkilo,,pre_2001,91,
soep-pretest,pre_2001,prauch1,prauch1a,,pre_2001,92,
soep-pretest,pre_2001,prauch2,_prauch2__,,pre_2001,93,1
soep-pretest,pre_2001,prauch3,prauch3a,,pre_2001,93,2
soep-pretest,pre_2001,prauch4,prauch2,,pre_2001,94,1
soep-pretest,pre_2001,prauch5,prauch3,,pre_2001,94,2
soep-pretest,pre_2001,prauch6,prauch4,,pre_2001,94,3
soep-pretest,pre_2001,prauch7,,,pre_2001,94,4
soep-pretest,pre_2001,prauch8,pre_prauch_days,,pre_2001,94,5
soep-pretest,pre_2001,prauch9,pre_prauch_weeks,,pre_2001,94,6
soep-pretest,pre_2001,prauch10,pre_prauch_months,,pre_2001,94,7
soep-pretest,pre_2001,prauch11,pre_prauch_years,,pre_2001,94,8
soep-pretest,pre_2001,prauch12,prauch8,,pre_2001,94,9
soep-pretest,pre_2001,pbeh1,pbeh1,,pre_2001,95,1
soep-pretest,pre_2001,pbeh2,pbeh2,,pre_2001,95,2
soep-pretest,pre_2001,pbehx,pre_pbeh2nr,,pre_2001,95,3
soep-pretest,pre_2001,pdr1,pdr1,,pre_2001,96,
soep-pretest,pre_2001,pdr2,pdr2,,pre_2001,96,
soep-pretest,pre_2001,pdr3,pdr3,,pre_2001,97,
soep-pretest,pre_2001,pkr1,pkr1,,pre_2001,98,
soep-pretest,pre_2001,pkr2,pkr2,,pre_2001,99,1
soep-pretest,pre_2001,pkr3,pkr3,,pre_2001,99,2
soep-pretest,pre_2001,pkr4,pkr4,,pre_2001,100,
soep-pretest,pre_2001,pkr5,pkr5,,pre_2001,101,
soep-pretest,pre_2001,pkr6,pkr6,,pre_2001,101,
soep-pretest,pre_2001,pbei,pbei,,pre_2001,102,
soep-pretest,pre_2001,pkv01,pkv01 ,,pre_2001,103,
soep-pretest,pre_2001,pkv02,pkv02,,pre_2001,104,
soep-pretest,pre_2001,pkvso,pre_pkvso,,pre_2001,104a,
soep-pretest,pre_2001,pkkw,pkkw,,pre_2001,104,
soep-pretest,pre_2001,pkv03,pkv03,,pre_2001,105,
soep-pretest,pre_2001,pkv04,pkv04,,pre_2001,106,1
soep-pretest,pre_2001,pkv05,pkv05,,pre_2001,106,2
soep-pretest,pre_2001,pkv06,pkv06,,pre_2001,106,3
soep-pretest,pre_2001,pkv07,pkv07,,pre_2001,106,4
soep-pretest,pre_2001,pkv08,pkv08,,pre_2001,106,5
soep-pretest,pre_2001,pkv09,pkv09,,pre_2001,106,6
soep-pretest,pre_2001,pkv10,pkv10,,pre_2001,106,7
soep-pretest,pre_2001,pkv11,pkv11,,pre_2001,106,8
soep-pretest,pre_2001,pkv12,pkv12,,pre_2001,106,9
soep-pretest,pre_2001,ppkv01,ppkv01,,pre_2001,107,
soep-pretest,pre_2001,ppkv02,ppkv02,,pre_2001,108,1
soep-pretest,pre_2001,ppkv03,ppkv03,,pre_2001,108,2
soep-pretest,pre_2001,ppkv04,ppkv04,,pre_2001,108,3
soep-pretest,pre_2001,ppkv05,ppkv05,,pre_2001,108,4
soep-pretest,pre_2001,ppkv06,ppkv06,,pre_2001,108,5
soep-pretest,pre_2001,peigen,peigen,,pre_2001,109,
soep-pretest,pre_2001,ppol1,ppol1,,pre_2001,110,
soep-pretest,pre_2001,ppol2,ppol2,,pre_2001,111,
soep-pretest,pre_2001,ppol3,ppol3,,pre_2001,112,1
soep-pretest,pre_2001,ppol4,ppol4,,pre_2001,112,2
soep-pretest,pre_2001,psor01,psor01,,pre_2001,113,1
soep-pretest,pre_2001,psor02,psor02,,pre_2001,113,2
soep-pretest,pre_2001,psor03,psor03,,pre_2001,113,3
soep-pretest,pre_2001,psor04,psor04,,pre_2001,113,4
soep-pretest,pre_2001,psor05,psor05,,pre_2001,113,5
soep-pretest,pre_2001,psor06,psor06,,pre_2001,113,6
soep-pretest,pre_2001,psor07,psor11,,pre_2001,113,7
soep-pretest,pre_2001,psor08,pre_worried_immigration,,pre_2001,113,8
soep-pretest,pre_2001,psor09,pre_worried_hostilityfor,,pre_2001,113,9
soep-pretest,pre_2001,psor10,psor10,,pre_2001,113,10
soep-pretest,pre_2001,psorso,psornr,,pre_2001,113,11
soep-pretest,pre_2001,psornr,pre_psornr1,,pre_2001,113,12
soep-pretest,pre_2001,psta1,psta1,,pre_2001,114,
soep-pretest,pre_2001,psta2,psta2,,pre_2001,115,1
soep-pretest,pre_2001,psta2x,pre_psta2x,,pre_2001,115,2
soep-pretest,pre_2001,psta2nr,psta2nr,,pre_2001,115,3
soep-pretest,pre_2001,psta3,psta3,,pre_2001,116,
soep-pretest,pre_2001,psta3x,pre_psta3x,,pre_2001,117,1
soep-pretest,pre_2001,psta3nr,psta3nr,,pre_2001,117,2
soep-pretest,pre_2001,psta4,psta4,,pre_2001,118,
soep-pretest,pre_2001,ppnat,ypnat,,pre_2001,119,1
soep-pretest,pre_2001,pnatnr,Item_7198,,pre_2001,119,2
soep-pretest,pre_2001,pnat01,germborn,,pre_2001,120,
soep-pretest,pre_2001,pnat02,pnat02,,pre_2001,121,
soep-pretest,pre_2001,pnat03,pnat03,,pre_2001,122,
soep-pretest,pre_2001,pnat04,pna09,,pre_2001,123,
soep-pretest,pre_2001,pnat05,pnat05,,pre_2001,124,
soep-pretest,pre_2001,pnat10,pnat10,,pre_2001,126,
soep-pretest,pre_2001,pnat11,pnat11,,pre_2001,127,1
soep-pretest,pre_2001,pnat12,pnat12,,pre_2001,127,2
soep-pretest,pre_2001,pnat13,pnat13,,pre_2001,127,3
soep-pretest,pre_2001,pnat14,pnat14,,pre_2001,128,
soep-pretest,pre_2001,pnat15,pnat15,,pre_2001,129,1
soep-pretest,pre_2001,pnat16,pnat16,,pre_2001,129,2
soep-pretest,pre_2001,psex,psex,,pre_2001,130,1
soep-pretest,pre_2001,ppgeb,ppgeb,,pre_2001,130,2
soep-pretest,pre_2001,ppgebmo,ppgebmo,,pre_2001,130,3
soep-pretest,pre_2001,pfamst,pfamst,,pre_2001,131,
soep-pretest,pre_2001,pp1,pp1,,pre_2001,132,1
soep-pretest,pre_2001,pp2,pp2,,pre_2001,132,2
soep-pretest,pre_2001,ppnam,pre_ppnam,,pre_2001,132,3
soep-pretest,pre_2001,ppnr,pre_ppnr,,pre_2001,132,4
soep-pretest,pre_2001,pfs11,pfs011,,pre_2001,133,1
soep-pretest,pre_2001,pfs12,pfs012,,pre_2001,133,2
soep-pretest,pre_2001,pfs13,pfs013,,pre_2001,133,3
soep-pretest,pre_2001,pfs21,pfs021,,pre_2001,133,4
soep-pretest,pre_2001,pfs22,pfs022,,pre_2001,133,5
soep-pretest,pre_2001,pfs23,pfs023,,pre_2001,133,6
soep-pretest,pre_2001,pfs31,pfs061,,pre_2001,133,7
